# Derived from Ho et al. arXiv:2606.02399v1, Fig. 1(e) vector source.
# Source figure SHA256: ba18ac4c15f68f024d5edad3915d1d4ff40d0ea95b9f9adc50516613b92e4382
# Regenerate with: python extract_ho_fig1e.py theory1ev_V4.pdf --output data/ho_fig1e_absorption.csv
pressure_GPa,energy_eV,absorption_au
20,2.26520572,2.08306682
20,2.28208015,2.16792259
20,2.29145478,2.18724857
20,2.30395437,2.18303808
20,2.32332859,2.16629007
20,2.33989055,2.18341391
20,2.35488993,2.18911892
20,2.36551466,2.17173963
20,2.37426435,2.14127671
20,2.41895022,1.96363746
20,2.44738661,1.83962765
20,2.46738598,1.72506355
20,2.51925896,1.41768013
20,2.62113028,0.83567231
20,2.65644151,0.66714405
20,2.68956542,0.53267261
20,2.72518912,0.40952310
20,2.75956293,0.31291819
20,2.79768643,0.22782899
20,2.83799745,0.15966690
20,2.88424569,0.10370760
20,2.93768145,0.06120044
20,3.00455381,0.03041894
20,3.09705069,0.01095937
20,3.20017211,0.00343392
40,1.40002160,0.00000000
40,2.11780814,0.01080435
40,2.13030773,0.02816308
40,2.13437010,0.05148521
40,2.13687009,0.08917996
40,2.13843247,0.14228382
40,2.13968237,0.23138678
40,2.14093246,0.44181588
40,2.14186989,0.84480739
40,2.14280731,1.90143644
40,2.14374474,3.28787623
40,2.14405721,3.04072939
40,2.14593226,0.67488591
40,2.14749463,0.27985000
40,2.14936968,0.15164438
40,2.15124453,0.11435041
40,2.15374452,0.10507794
40,2.15999421,0.11526357
40,2.16405658,0.14712706
40,2.16843143,0.17079712
40,2.17124370,0.19467418
40,2.17874349,0.27450907
40,2.18186844,0.32063949
40,2.19311792,0.54706052
40,2.19780524,0.67102629
40,2.20436761,0.87855297
40,2.20811750,0.96134607
40,2.21092977,0.98075279
40,2.21311730,0.97435484
40,2.21905451,0.93109161
40,2.22280441,0.92674606
40,2.22686678,0.89361854
40,2.23717884,0.80724916
40,2.24061626,0.81245943
40,2.24436616,0.84002728
40,2.24874100,0.89668098
40,2.25686574,1.04110462
40,2.27311502,1.34021828
40,2.27905244,1.41315020
40,2.28498965,1.45391914
40,2.29405182,1.49599468
40,2.29686429,1.47315703
40,2.29967656,1.45887542
40,2.30311398,1.46952790
40,2.30748882,1.50457275
40,2.31248862,1.55354906
40,2.31623851,1.58065373
40,2.31905098,1.62897087
40,2.32217593,1.70368359
40,2.32248841,1.69993261
40,2.32436325,1.63976649
40,2.32592563,1.61623663
